,ibns_20u,vgs_m1,name,type,time,OK
0,10.3462,0.621997,SchGtKssThVtAl,Sch,Mon May  4 11:29:16 2026,False
1,10.4418,0.565192,SchGtKffThVtAl,Sch,Mon May  4 11:29:16 2026,False
2,10.4545,0.555366,SchGtKsfThVtAl,Sch,Mon May  4 11:29:16 2026,False
3,10.3322,0.631769,SchGtKfsThVtAl,Sch,Mon May  4 11:29:16 2026,False
4,10.3274,0.710476,SchGtKssTlVtAl,Sch,Mon May  4 11:29:17 2026,False
5,10.424900000000001,0.659937,SchGtKffTlVtAl,Sch,Mon May  4 11:29:17 2026,False
6,10.4396,0.650101,SchGtKsfTlVtAl,Sch,Mon May  4 11:29:17 2026,False
7,10.312000000000001,0.720253,SchGtKfsTlVtAl,Sch,Mon May  4 11:29:17 2026,False
8,40.7952,0.737632,SchGtKssThVtAh,Sch,Mon May  4 11:29:17 2026,False
9,41.0826,0.67249,SchGtKffThVtAh,Sch,Mon May  4 11:29:17 2026,False
10,41.1205,0.662261,SchGtKsfThVtAh,Sch,Mon May  4 11:29:17 2026,False
11,40.7545,0.748007,SchGtKfsThVtAh,Sch,Mon May  4 11:29:17 2026,False
12,40.7008,0.793896,SchGtKssTlVtAh,Sch,Mon May  4 11:29:17 2026,False
13,40.9728,0.73787,SchGtKffTlVtAh,Sch,Mon May  4 11:29:17 2026,False
14,41.013799999999996,0.727781,SchGtKsfTlVtAh,Sch,Mon May  4 11:29:17 2026,False
15,40.658699999999996,0.804004,SchGtKfsTlVtAh,Sch,Mon May  4 11:29:17 2026,False
