,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.0,SchGtKttTtVt,Sch,Sat May  2 17:56:42 2026,False
1,-5.0,1.0,SchGtKssTtVt,Sch,Sat May  2 17:56:43 2026,False
2,-5.0,1.0,SchGtKffTtVt,Sch,Sat May  2 17:56:43 2026,False
3,-5.0,1.0,SchGtKttThVt,Sch,Sat May  2 17:56:43 2026,False
4,-5.0,1.0,SchGtKssThVt,Sch,Sat May  2 17:56:43 2026,False
5,-5.0,1.0,SchGtKffThVt,Sch,Sat May  2 17:56:43 2026,False
6,-5.0,1.0,SchGtKttTlVt,Sch,Sat May  2 17:56:43 2026,False
7,-5.0,1.0,SchGtKssTlVt,Sch,Sat May  2 17:56:43 2026,False
8,-5.0,1.0,SchGtKffTlVt,Sch,Sat May  2 17:56:43 2026,False
9,-5.0,1.0,SchGtKttTtVl,Sch,Sat May  2 17:56:43 2026,False
10,-5.0,1.0,SchGtKssTtVl,Sch,Sat May  2 17:56:43 2026,False
11,-5.0,1.0,SchGtKffTtVl,Sch,Sat May  2 17:56:44 2026,False
12,-5.0,1.0,SchGtKttThVl,Sch,Sat May  2 17:56:44 2026,False
13,-5.0,1.0,SchGtKssThVl,Sch,Sat May  2 17:56:44 2026,False
14,-5.0,1.0,SchGtKffThVl,Sch,Sat May  2 17:56:44 2026,False
15,-5.0,1.0,SchGtKttTlVl,Sch,Sat May  2 17:56:44 2026,False
16,-5.0,1.0,SchGtKssTlVl,Sch,Sat May  2 17:56:44 2026,False
17,-5.0,1.0,SchGtKffTlVl,Sch,Sat May  2 17:56:44 2026,False
18,-5.0,1.0,SchGtKttTtVh,Sch,Sat May  2 17:56:44 2026,False
19,-5.0,1.0,SchGtKssTtVh,Sch,Sat May  2 17:56:44 2026,False
20,-5.0,1.0,SchGtKffTtVh,Sch,Sat May  2 17:56:44 2026,False
21,-5.0,1.0,SchGtKttThVh,Sch,Sat May  2 17:56:44 2026,False
22,-5.0,1.0,SchGtKssThVh,Sch,Sat May  2 17:56:44 2026,False
23,-5.0,1.0,SchGtKffThVh,Sch,Sat May  2 17:56:45 2026,False
24,-5.0,1.0,SchGtKttTlVh,Sch,Sat May  2 17:56:45 2026,False
25,-5.0,1.0,SchGtKssTlVh,Sch,Sat May  2 17:56:45 2026,False
26,-5.0,1.0,SchGtKffTlVh,Sch,Sat May  2 17:56:45 2026,False
